ID,Investor / Fund Name,Website,Currently Investing?,Lead Deals?,How to Apply / Pitch,Country / Region,Headquarters,Fund Size ($m),Year Fund Closed,Cheque Size,Investment Portfolio,Stage Focus,Sector Focus,About,Corrections / Flags,Source — Fund Size,Source — Portfolio,Source — General,Latest News 1 Headline,Latest News 1 URL,Latest News 1 Date,Latest News 2 Headline,Latest News 2 URL,Latest News 2 Date,Latest News 3 Headline,Latest News 3 URL,Latest News 3 Date
1,1V (OneVentures),https://one-ventures.com.au/,Yes (Fund VII raising),Yes,https://one-ventures.com.au/portfolio/,Australia,"Sydney, NSW",AU$1B+ total FUM across 7 funds; Fund VII targeting AU$200M (launched Aug 2024),Fund VII: currently raising (launched Aug 2024); Fund I closed 2024,Not publicly available,"Vaxxas, BiVACOR, Employment Hero (exited), Shippit, Phocas (exited Oct 2025), Buildkite, Fleet Space, Lumary, Kepler Analytics, 6clicks, AmazingCo, AMP, InDebted, Harmoney, ImmVirX, Zoomo, Blade Therapeutics, Axial Therapeutics, MyPass, HIVERY (acquired Jan 2025)",Growth (Series B+),"Technology, Healthcare, Deep Tech",Later-stage Australian VC managing AU$1B+ FUM across 7 funds since 2010. Founded by Michelle Deaker. Invests in high-growth Australian and US tech/healthcare companies.,"⚠️ Fund size: broader than single fund figures — AU$1B+ total FUM across 7 funds. Fund VII launched Aug 2024 targeting AU$200M, still raising.",https://dynamicbusiness.com/topics/news/oneventures-launches-its-seventh-fund-targeting-200-million.html,https://www.cbinsights.com/investor/oneventures,https://one-ventures.com.au/,OneVentures launches seventh fund targeting AU$200M,https://dynamicbusiness.com/topics/news/oneventures-launches-its-seventh-fund-targeting-200-million.html,August 2024,MyPass raises $7.5M Series A (1V portfolio),https://one-ventures.com.au/portfolio/,February 2025,AMP raises $12.57M Series B (1V portfolio),https://one-ventures.com.au/portfolio/,March 2025
2,77 Partners,https://www.77partners.vc/,Yes,Not publicly available,https://www.77partners.vc/challenge,Australia,Not publicly available,Not publicly available,Not publicly available,From AU$100k (via 77 Challenge); upper bound not disclosed,At least 5 investments; names not publicly listed,Pre-seed / Seed,Technology (broad),Early-stage VC backed by Silicon Valley-based Bee Partners. Runs the '77 Challenge' open application program for founders. Minimum investment AU$100k.,,https://www.77partners.vc/,https://www.77partners.vc/,https://www.77partners.vc/challenge,77 Challenge open applications — invest from $100k,https://www.77partners.vc/challenge,Ongoing (as at April 2026),,,,,,
3,808 Ventures,https://www.808ventures.vc/,Yes,Not publicly available,Not publicly available,Australia,"Level 1, 28-36 Bay View Terrace, Claremont WA 6010",Global Alliance Fund: USD$1B+ invested across 243 companies,Founded 2016; ongoing,Not publicly available,"Rentberry, GuestReady, Byte Foods, Inhalio, Mmuze, Boundlss, Wellteq, Equal1, Oklo, Cemvita, Gold Hydrogen, Infinium, Circ, Quaise, Regent, Exowatt, Armada, Atomic Industries, Varda Space, D-Orbit, StretchSense, Partful (25+ investments)",Early-stage to Growth,"Deep Tech, Space, Energy, CleanTech, HealthTech",Founded 2016 by Gary Macbeth and Art Caisse. Perth-based VC with global deal-flow via the Global Alliance Fund (USD$1B+ across 243 companies). Focus on frontier/deep tech.,"⚠️ HQ: Claremont WA (Level 1, 28-36 Bay View Terrace, Claremont WA 6010) — not generic 'Perth'.",https://venturecapitalarchive.com/venture-funds/808-ventures-808ventures-vc,https://inforcapital.com/companies/808-ventures/,https://www.808ventures.vc/,808 Ventures Global Alliance Fund surpasses USD$1B invested across 243 companies,https://venturecapitalarchive.com/venture-funds/808-ventures-808ventures-vc,Not publicly dated,,,,,,
4,AfterWork Ventures,https://www.afterwork.vc/,Yes,Yes,https://www.afterwork.vc/apply,Australia,"Sydney, NSW","~AU$18M (Fund III; first close AU$10M Aug 2021, target AU$30M)",Fund III: first close August 2021 (still investing),AU$100k–$500k,"Cover Genius, Car Next Door, 90 Seconds, Onfido, Hectre, Vitruvian, Send Payments, Stropro, OwnHome, Prophero, OfferFit, Klikit, Blakthumb, Cake Equity, Wagetap, Functionly, GridCognition, Swingvision, Insite AI, Samphire Neuroscience, Lyka, Switchboard, Cotiss, Zenphi, Primary, Aerotruth, Kanopi, Medoo, Everlab, Rocco, SearchEye, Avarni, Indemn, Turnto (35+ companies)",Pre-seed / Seed,Sector-agnostic (technology),Community-powered early-stage VC. Network of 100+ tech operators who actively support portfolio. Sector-agnostic with focus on ANZ founders.,⚠️ Cheque size upper bound: AU$500k (not just '$100k minimum' — website confirms range AU$100k–$500k).,https://www.privateequitymedia.com.au/news/new-funds-and-fundraising/early-stage-venture-fund-reaches-10m-first-close/,https://www.afterwork.vc/portfolio,https://www.afterwork.vc/,AfterWork Ventures Fund III reaches AU$10M first close,https://www.privateequitymedia.com.au/news/new-funds-and-fundraising/early-stage-venture-fund-reaches-10m-first-close/,August 2021,,,,,,
5,AgriZeroNZ,https://www.agrizero.nz/,Yes,Yes,https://www.agrizero.nz/how-we-invest,New Zealand,"109 Fanshawe Street, Auckland 1010, New Zealand",NZD$73.4M committed across 16 ventures (as at Dec 2025),Ongoing (public-private partnership established 2022),NZD$1M–$10M equity; up to 50% co-investment in pre-seed,"Agteria Biotech (NZD$4.1M), ArkeaBio (NZD$9.9M), BiomEdit (NZD$6.3M), Hoofprint Biome (NZD$7.5M), Ruminant BioTech (NZD$4M), Bovotica (AU$1.35M), Rumin8 (USD$3M), BioLumic, Nbryo, Agroceuticals Products NZ (16 ventures total)",Pre-seed to Series B,Agricultural technology (methane/emissions reduction in livestock),"NZ public-private partnership (50% NZ Crown/MPI + 50% industry: a2 Milk, ANZ, ASB, BNZ, ANZCO, Fonterra, Rabobank, Ravensdown, Silver Fern Farms, Synlait). Invests in technologies to reduce agricultural greenhouse gas emissions.",,https://www.datocms-assets.com/108924/1762374399-agrizeronz-year-in-review-2024-2025.pdf,https://www.cbinsights.com/investor/agrizeronz,https://www.agrizero.nz/,AgriZeroNZ invests in Rumin8 to reduce livestock methane,https://www.agrizero.nz/news,March 2026,BiomEdit raises Series B (AgriZeroNZ portfolio),https://www.agrizero.nz/news,July 2025,AgriZeroNZ Year in Review 2024–2025: NZD$73.4M committed across 16 ventures,https://www.datocms-assets.com/108924/1762374399-agrizeronz-year-in-review-2024-2025.pdf,December 2025
6,Airtree Ventures,https://www.airtree.vc/,Yes,Yes,https://www.airtree.vc/pitch,Australia,"131 Devonshire Street, Surry Hills NSW 2010","AU$650M (Fund V: AU$250M Seed + AU$400M Growth, closed August 2025); total FUM ~AU$2B",Fund V: August 2025,Seed: AU$500k–$3M; Growth: AU$5M–$30M+,"Canva, Employment Hero, Linktree, Immutable, Go1, Airwallex, Pet Circle, SafetyCulture, ProcurePro, Lorikeet (130+ companies; 9 unicorns)",Seed to Series B (also Growth/Series C+),"Technology (broad — SaaS, Fintech, Marketplace, Deep Tech)","Founded 2014 by Daniel Petre AO and Craig Blair. Australia's largest VC by FUM (~AU$2B). LPs include Harvard Management Company, MetLife Investment Management, major Australian superannuation funds. 9 unicorns in portfolio.",⚠️ Fund V closed August 2025 (not just '2025'); total FUM ~AU$2B. Pitch URL in spreadsheet may be a truncated Airtable link — correct URL: https://www.airtree.vc/pitch,https://www.airtree.vc/open-source-vc/introducing-airtree-fund-v,https://www.airtree.vc/portfolio,https://www.bloomberg.com/news/articles/2025-08-07/global-investors-back-australian-startups-in-425-million-fund,Airtree closes AU$650M Fund V — Australia's largest VC fund,https://www.airtree.vc/open-source-vc/introducing-airtree-fund-v,August 2025,Airtree launches AU$250M Seed fund,https://www.airtree.vc/open-source-vc/introducing-airtree-fund-v,January 2025,Lorikeet raises AU$54M Series A (Airtree portfolio),https://www.airtree.vc/portfolio,August 2025
7,Alberts Impact Ventures,https://www.alberts.co/impact-ventures/,Yes,Not publicly available,https://www.alberts.co/impact-ventures/,Australia,"Level 7, 175 Macquarie Street, Sydney NSW 2000",AU$16M dedicated at launch (June 2021); total size not publicly updated,June 2021 (launch); ongoing,Not publicly available,"Hatch, Harvest B, Samphire Neuroscience, Circle In (exited), Mindset Health, Verve (acquired Nov 2023), Abby Health, Conserving Beauty, RapidAIM, Throughline, Baymatob, Pivot, ULUU, MGA Thermal, Amber, Tixel, Surreal, Like Family, Sendle, AirRobe, Gridcog, CommandPost, Bygen (21+ companies)",Pre-seed to Series A,"Impact (Health, Sustainability, Future of Work, Education)",Impact-focused VC arm of the fifth-generation Albert family (founders of AC/DC's original label). Led by Kirsty Albert. Invests in companies with measurable social/environmental impact alongside financial returns. 25% female-led capital invested (Dec 2025).,,https://www.alberts.co/impact-ventures/,https://www.cbinsights.com/investor/alberts-impact-capital,https://www.alberts.co/impact-ventures/,Alberts Impact Ventures portfolio: 25% female-led capital invested,https://www.alberts.co/impact-ventures/,December 2025,Verve acquired (Alberts portfolio exit),https://www.cbinsights.com/investor/alberts-impact-capital,November 2023,,,
8,Alchemy Ventures,https://alchemventures.com.au/ (⚠️ OFFLINE as at April 2026),Not publicly available (website offline),Not publicly available,Not publicly available (website offline),Australia,NSW 2000 (registered),Not publicly available,Active from 20 May 2016 (ABN registered),Not publicly available,Not publicly available (website offline),Early-stage,"Fintech, Proptech, Consumer Internet + Mining Tech, AgTech (broader than some listings)","Conditionally registered ESVCLP. ABN: 52 612 502 548, active from 20 May 2016. Website offline as at April 2026 (DNS error). Limited public information available.",⚠️ Sector focus broader than some listings: also includes Mining Tech and AgTech per Bloomberg/ABR. ⚠️ Website offline as at April 2026.,https://abr.business.gov.au/ABN/View/52612502548,https://privateequitylist.com/investors/alchemy-ventures,https://www.bloomberg.com/profile/company/1417719D:AU,Alchemy Ventures conditionally registered as ESVCLP,https://privateequitylist.com/investors/alchemy-ventures,Not publicly dated,,,,,,
9,ALIAVIA Ventures,https://www.aliavia.vc/,Yes (Fund II currently raising),Yes,https://www.aliavia.vc/apply,Australia / USA,"California, USA (with Australian operations)",Fund I: AU$13.5M (closed Oct 2023); Fund II: targeting ~AU$25M (currently raising),Fund I: October 2023; Fund II: raising,Not publicly available,"Eugene, HowToo, Othelia, GoFIGR, Ginko, Taelor, Loupe (exited to Stingray), Human Health + others (12 portfolio companies; 7 exits via ELEVACAO pre-accelerator)",Pre-seed to Seed,Female-founded / female-led technology startups (ANZ + US cross-border),"Founded 2021 by Marisa Warren and Kate Vale. Invests in female-founded/led tech startups across ANZ and US. LPs include Tattarang (Forrest Family), Wollemi Capital (Robyn Denholm), Trawalla (Carol Schwartz), Dom Pym, Cynthia Scott. Runs ELEVACAO pre-accelerator.","⚠️ Fund I = AU$13.5M (closed Oct 2023) — verify vs spreadsheet figure. Fund II targeting ~AU$25M, currently raising.",https://www.innovationaus.com/aliavia-closes-13-5m-female-focused-venture-fund/,https://techcrunch.com/2023/10/09/aliavia-ventures/,https://billiondollarmoves.com/podcast-episode/why-australias-leading-family-offices-are-backing-aliavia-ventures-cross-border-vc-strategy-w-marisa-warren/,ALIAVIA Ventures Fund II targeting AU$25M — currently raising,https://billiondollarmoves.com/podcast-episode/why-australias-leading-family-offices-are-backing-aliavia-ventures-cross-border-vc-strategy-w-marisa-warren/,July 2025,ALIAVIA LP/Founder Summit — Laguna Beach,https://www.aliavia.vc/,October 2025,ALIAVIA closes AU$13.5M Fund I — female-focused venture fund,https://www.innovationaus.com/aliavia-closes-13-5m-female-focused-venture-fund/,October 2023
10,Altered Capital,https://www.alteredcapital.com/,Yes (Fund II currently raising),Yes,https://www.alteredcapital.com/contact,New Zealand,"Auckland, New Zealand (+ London office)",Fund I: NZD$100M; Fund II: USD$100M (raising; NZGCP Elevate committed USD$25M Feb 2026). Total committed: $350M+ across 5+ funds.,Fund I: closed (11 portfolio companies); Fund II: currently raising,Not publicly available,"Crimson Education, Starboard Maritime Intelligence, Emerge, Contented, Oritain, ZILO, First Table, Oraame + Starling Bank (historical co-investment)",Series A / Series B,"Technology (SaaS, Fintech, Maritime, EdTech), Healthcare, Financial Services — NZ-connected, global ambition","Founded 2022 by McGregor Fea, Craig Mawdsley, and Marcus Traill. Auckland-based growth VC investing in NZ-connected companies with global ambition. Fund I tracking >40% gross IRR. Partnership with Pie Funds announced Feb 2026.",⚠️ Stage focus should be primarily Series A/B (not 'Series D+' if listed as such). Fund II is USD$100M (not NZD).,https://cfotech.co.nz/story/elevate-backs-altered-capital-s-usd-25m-growth-fund-push,https://www.alteredcapital.com/case-studies/starboard-series-a,https://www.goodreturns.co.nz/article/976525254/pie-adds-new-ingredient-to-its-funds.html,NZGCP Elevate commits USD$25M to Altered Capital Fund II,https://cfotech.co.nz/story/elevate-backs-altered-capital-s-usd-25m-growth-fund-push,February 2026,Altered Capital partners with Pie Funds,https://www.goodreturns.co.nz/article/976525254/pie-adds-new-ingredient-to-its-funds.html,February 2026,Contented raises NZ$4.1M seed (Altered Capital portfolio),https://www.alteredcapital.com/case-studies/,February 2026
