sector_raw,dbs,proposed_sector_tag,confidence,rationale
Sector Agnostic,23,,high,"Genuinely cross-sector (35% of all DBs) — leave untagged; surfaces under 'All Sectors', never a facet value (mirrors the mentor sector_agnostic treatment)."
Technology,11,technology-information-and-media,high,"Direct crosswalk."
Financial Services,5,financial-services,high,"Direct crosswalk."
Government,2,government-administration,high,"Direct crosswalk."
Professional Services,2,professional-services,high,"Direct crosswalk."
Retail,2,retail,high,"Direct crosswalk."
Agriculture,1,farming-ranching-forestry,high,"Canonical 'Farming, Ranching, Forestry' is the agriculture bucket."
Banking,1,financial-services,high,"Banking = financial-services."
Construction,1,construction,high,"Direct crosswalk."
Defence & Space,1,manufacturing,medium,"Aerospace/defence = manufacturing in the coarse vocab (alt: government-administration if these are defence-agency buyer lists)."
E-commerce,1,retail,high,"Online retail = retail (consistent with B3 Catch/e-commerce)."
Education,1,education,high,"Direct crosswalk."
Entertainment,1,entertainment-providers,high,"Direct crosswalk."
Healthcare,1,hospitals-and-health-care,high,"Direct crosswalk."
Hospitality,1,accommodation-and-food-services,high,"Hospitality = accommodation-and-food-services."
Insurance,1,financial-services,high,"Insurance = financial-services."
Logistics,1,transportation-logistics-supply-chain-and-storage,high,"Direct crosswalk."
Manufacturing,1,manufacturing,high,"Direct crosswalk."
Mining & Metals,1,oil-gas-and-mining,high,"Canonical 'Oil, Gas, and Mining' covers mining/metals."
Non-Profit,1,,low,"No clean canonical home; non-profits span sectors — leave untagged (alt: administrative-and-support-services)."
Pharmaceuticals,1,hospitals-and-health-care,medium,"Health-care vertical (alt: manufacturing — LinkedIn files pharma manufacturing under Manufacturing)."
Real Estate,1,real-estate-and-equipment-rental-services,high,"Direct crosswalk."
Telecommunications,1,technology-information-and-media,high,"Telecom folds into technology-information-and-media (no standalone telecom slug), consistent with B3 Singtel/NEC."
Utilities,1,utilities,high,"Direct crosswalk."
Venture Capital,1,financial-services,high,"VC = financial-services."
Wholesale,1,wholesale,high,"Direct crosswalk."
